Marca,Modelo,Año,Kilometraje,Transmision,Tipo de Vendedor,Región,Precio
suzuki,baleno,2021,"27,000 km",Manual,Particular,Metropolitana de Santiago,11100000
suzuki,baleno,2020,"41,113 km",Manual,Automotora Usado,Araucanía,9490000
suzuki,baleno,2022,"29,588 km",Manual,Automotora Usado,Araucanía,10990000
suzuki,baleno,2021,"51,622 km",Manual,Automotora Usado,Metropolitana de Santiago,10290000
suzuki,baleno,2020,"90,000 km",Manual,Automotora Usado,Metropolitana de Santiago,8990000
suzuki,baleno,2018,"45,000 km",Manual,Automotora Usado,Metropolitana de Santiago,9800000
suzuki,baleno,2019,"11,000 km",Manual,Automotora Usado,Metropolitana de Santiago,10990000
suzuki,baleno,2020,"29,000 km",Manual,Automotora Usado,Metropolitana de Santiago,10500000
suzuki,baleno,2022,"17,500 km",Manual,Automotora Usado,Metropolitana de Santiago,11790000
suzuki,baleno,2020,"39,061 km",Automática,Automotora Usado,Bío Bío,13290000
suzuki,baleno,2020,"26,100 km",Manual,Automotora Usado,Metropolitana de Santiago,10990000
suzuki,baleno,2022,"12,300 km",Manual,Particular,Metropolitana de Santiago,11590000
suzuki,baleno,2018,"78,000 km",Manual,Particular,Metropolitana de Santiago,9390000
suzuki,baleno,2021,"14,310 km",Manual,Particular,Araucanía,12350000
suzuki,baleno,2017,"51,150 km",Manual,Automotora Usado,Metropolitana de Santiago,8490000
suzuki,baleno,2019,"31,000 km",Automática,Automotora Usado,Metropolitana de Santiago,10990000
suzuki,baleno,2022,"2,700 km",Automática,Automotora Usado,Metropolitana de Santiago,15590000
suzuki,baleno,2021,"10,800 km",Automática,Automotora Usado,Metropolitana de Santiago,13480000
suzuki,baleno,2020,"27,000 km",Manual,Particular,Metropolitana de Santiago,10790000
suzuki,baleno,2020,"25,819 km",Manual,Particular,Metropolitana de Santiago,11990000
suzuki,baleno,2018,"44,000 km",Manual,Particular,Valparaíso,11490000
suzuki,baleno,2020,"13,800 km",Manual,Particular,Metropolitana de Santiago,12000000
suzuki,baleno,2018,"55,000 km",Manual,Particular,Araucanía,10900000
suzuki,baleno,2021,"37,780 km",Manual,Automotora Usado,Metropolitana de Santiago,10800000
suzuki,baleno,2018,"44,000 km",Manual,Particular,Bío Bío,10990000
suzuki,baleno,2017,"91,000 km",Manual,Particular,Metropolitana de Santiago,9290000
suzuki,baleno,2017,"55,000 km",Manual,Particular,Los Lagos,10900000
suzuki,baleno,2018,"45,000 km",Manual,Particular,Metropolitana de Santiago,11680000
suzuki,baleno,2020,"25,000 km",Manual,Particular,Metropolitana de Santiago,11700000
suzuki,baleno,2018,"64,700 km",Manual,Particular,Metropolitana de Santiago,10300000
suzuki,baleno,2017,"138,000 km",Automática,Particular,Metropolitana de Santiago,9480000
suzuki,baleno,2018,"93,000 km",Manual,Particular,Metropolitana de Santiago,11200000
suzuki,baleno,2021,"35,000 km",Automática,Particular,Metropolitana de Santiago,12500000
suzuki,baleno,2021,"13,000 km",Manual,Particular,Metropolitana de Santiago,12000000
suzuki,baleno,2017,"49,600 km",Manual,Particular,Metropolitana de Santiago,9200000
suzuki,baleno,2021,"26,400 km",Manual,Particular,Metropolitana de Santiago,12500000
suzuki,baleno,2018,"96,000 km",Manual,Particular,Metropolitana de Santiago,9200000
suzuki,baleno,2017,"78,500 km",Manual,Particular,Metropolitana de Santiago,9990000
suzuki,baleno,2020,"20,000 km",Manual,Particular,Metropolitana de Santiago,12500000
suzuki,baleno,2017,"69,500 km",Manual,Particular,Metropolitana de Santiago,9500000
suzuki,baleno,2018,"40,000 km",Automática,Particular,Metropolitana de Santiago,11750000
suzuki,baleno,2018,"20,300 km",Manual,Particular,Bío Bío,11000000
suzuki,baleno,2019,"43,000 km",Manual,Particular,Metropolitana de Santiago,10850000
suzuki,baleno,2019,"52,700 km",Manual,Particular,Metropolitana de Santiago,10000000
suzuki,baleno,2019,"97,000 km",Manual,Particular,Metropolitana de Santiago,9800000
suzuki,baleno,2018,"50,000 km",Manual,Particular,Metropolitana de Santiago,9500000
suzuki,baleno,2022,"1,500 km",Manual,Particular,Bío Bío,12000000
suzuki,baleno,2020,"65,000 km",Manual,Particular,Valparaíso,9500000
