Marca,Modelo,Año,Kilometraje,Transmision,Tipo de Vendedor,Región,Precio
suzuki,baleno,2021,27000,1,0,7,11100000
suzuki,baleno,2020,41113,1,1,12,9490000
suzuki,baleno,2022,29588,1,1,12,10990000
suzuki,baleno,2021,51622,1,1,7,10290000
suzuki,baleno,2020,90000,1,1,7,8990000
suzuki,baleno,2018,45000,1,1,7,9800000
suzuki,baleno,2019,11000,1,1,7,10990000
suzuki,baleno,2020,29000,1,1,7,10500000
suzuki,baleno,2022,17500,1,1,7,11790000
suzuki,baleno,2020,39061,2,1,11,13290000
suzuki,baleno,2020,26100,1,1,7,10990000
suzuki,baleno,2022,12300,1,0,7,11590000
suzuki,baleno,2018,78000,1,0,7,9390000
suzuki,baleno,2021,14310,1,0,12,12350000
suzuki,baleno,2017,51150,1,1,7,8490000
suzuki,baleno,2019,31000,2,1,7,10990000
suzuki,baleno,2022,2700,2,1,7,15590000
suzuki,baleno,2021,10800,2,1,7,13480000
suzuki,baleno,2020,27000,1,0,7,10790000
suzuki,baleno,2020,25819,1,0,7,11990000
suzuki,baleno,2018,44000,1,0,6,11490000
suzuki,baleno,2020,13800,1,0,7,12000000
suzuki,baleno,2018,55000,1,0,12,10900000
suzuki,baleno,2021,37780,1,1,7,10800000
suzuki,baleno,2018,44000,1,0,11,10990000
suzuki,baleno,2017,91000,1,0,7,9290000
suzuki,baleno,2017,55000,1,0,14,10900000
suzuki,baleno,2018,45000,1,0,7,11680000
suzuki,baleno,2020,25000,1,0,7,11700000
suzuki,baleno,2018,64700,1,0,7,10300000
suzuki,baleno,2017,138000,2,0,7,9480000
suzuki,baleno,2018,93000,1,0,7,11200000
suzuki,baleno,2021,35000,2,0,7,12500000
suzuki,baleno,2021,13000,1,0,7,12000000
suzuki,baleno,2017,49600,1,0,7,9200000
suzuki,baleno,2021,26400,1,0,7,12500000
suzuki,baleno,2018,96000,1,0,7,9200000
suzuki,baleno,2017,78500,1,0,7,9990000
suzuki,baleno,2020,20000,1,0,7,12500000
suzuki,baleno,2017,69500,1,0,7,9500000
suzuki,baleno,2018,40000,2,0,7,11750000
suzuki,baleno,2018,20300,1,0,11,11000000
suzuki,baleno,2019,43000,1,0,7,10850000
suzuki,baleno,2019,52700,1,0,7,10000000
suzuki,baleno,2019,97000,1,0,7,9800000
suzuki,baleno,2018,50000,1,0,7,9500000
suzuki,baleno,2022,1500,1,0,11,12000000
suzuki,baleno,2020,65000,1,0,6,9500000
honda,wr-v,2018,76022,1,1,7,10990000
honda,wr-v,2022,71000,1,1,7,14880000
honda,wr-v,2018,60500,2,1,7,13490000
honda,wr-v,2018,69000,1,1,7,9990000
honda,wr-v,2018,93696,1,1,9,11490000
honda,wr-v,2022,800,2,1,7,13990000
honda,wr-v,2018,49500,1,1,14,11990000
honda,wr-v,2022,300,2,0,6,18400000
honda,wr-v,2017,32000,1,0,7,11200000
honda,wr-v,2022,3500,2,0,11,16250000
honda,wr-v,2018,90000,1,0,7,10990000
honda,wr-v,2017,95000,1,0,6,10990000
honda,wr-v,2023,110,2,0,7,18000000
kia,rio5,2017,24500,1,1,12,8690000
kia,rio5,2019,51179,1,1,7,10590000
kia,rio5,2020,54000,2,1,7,12690000
kia,rio5,2016,106031,1,1,7,10990000
kia,rio5,2016,99000,1,1,7,8500000
kia,rio5,2019,45000,1,1,7,8930000
kia,rio5,2019,38804,1,1,7,11990000
kia,rio5,2019,51574,1,1,7,9990000
kia,rio5,2022,36000,1,1,7,13990000
kia,rio5,2018,76000,1,1,7,9600000
kia,rio5,2021,31000,1,1,6,13990000
kia,rio5,2021,30000,2,0,9,13490000
kia,3,2013,96500,1,0,7,8100000
kia,rio5,2022,10000,1,0,7,12980000
kia,rio5,2015,167000,1,0,6,8500000
kia,rio5,2019,65950,2,0,7,14000000
kia,rio5,2016,85000,1,0,7,9000000
kia,rio5,2019,31000,1,0,7,13290000
kia,rio5,2018,42000,1,1,7,9490000
kia,rio5,2018,67400,1,0,7,12190000
kia,rio5,2018,118000,1,1,11,9590000
kia,rio5,2012,121400,1,0,7,7650000
kia,rio5,2019,64000,1,1,7,10450000
kia,rio5,2016,800000,1,0,6,8800000
kia,rio5,2019,36700,1,0,7,10800000
kia,3,2013,55500,1,0,7,9490000
kia,rio5,2018,49000,1,0,7,12000000
kia,rio5,2021,35000,1,0,7,11990000
kia,rio5,2019,52000,1,0,7,11600000
kia,rio5,2016,76000,1,0,6,10300000
kia,rio5,2014,58084,1,0,7,7990000
kia,3,2013,121000,1,0,14,7300000
kia,rio5,2016,72000,1,0,6,9800000
kia,rio5,2018,71000,1,0,7,9490000
kia,rio5,2021,8000,1,0,7,11800000
kia,rio5,2022,18000,1,0,7,13700000
kia,rio5,2012,15800,2,0,7,8500000
kia,rio5,2015,130000,1,0,7,7750000
kia,rio5,2019,32500,1,0,7,11800000
kia,rio5,2019,24000,1,0,6,13200000
kia,rio5,2019,28000,1,0,7,11590000
kia,rio5,2018,80000,1,0,6,10980000
kia,rio5,2018,95000,1,0,7,10700000
kia,rio5,2016,83000,1,0,7,7500000
kia,rio5,2015,103000,2,0,7,8850000
kia,rio5,2018,48110,1,0,7,11900000
kia,rio5,2017,75000,1,0,7,8600000
mazda,2,2016,75000,1,1,7,11550000
mazda,2,2016,26130,1,1,12,10990000
mazda,2,2018,72900,1,1,7,10590000
mazda,2,2019,26000,1,0,7,12900000
mazda,2,2011,130000,1,1,7,5890000
mazda,2,2018,36000,2,1,7,11990000
mazda,2,2009,135987,2,1,7,5980000
mazda,2,2019,25000,1,0,6,12290000
mazda,2,2020,28000,1,0,6,14500000
mazda,2,2018,51000,2,0,7,10900000
mazda,2,2020,66133,1,1,7,11850000
mazda,2,2020,48800,1,0,9,12300000
mazda,2,2014,20800,1,0,7,8300000
mazda,3,2013,118000,1,0,7,6290000
mazda,2,2014,123000,1,0,7,7790000
mazda,2,2009,44000,1,0,7,7490000
mazda,3,2013,160000,1,0,7,6850000
mazda,2,2011,135000,1,0,7,5690000
mazda,2,2014,138751,1,0,7,7800000
mazda,2,2019,22000,1,0,7,11250000
mazda,2,2015,81600,1,0,7,8900000
mazda,2,2014,105000,1,0,6,7500000
mazda,2,2019,45000,1,0,12,11900000
mazda,2,2015,136000,1,0,7,6800000
mazda,2,2018,67000,2,0,7,10500000
mazda,2,2016,68000,1,0,7,10490000
mazda,2,2012,75000,1,0,7,6700000
mazda,2,2015,100000,1,0,6,7200000
mazda,2,2014,70000,1,0,7,7490000
mazda,2,2015,92500,1,0,7,7800000
mazda,3,2013,101000,1,0,9,6200000
mazda,2,2018,58000,1,0,7,13290000
mazda,2,2011,160000,2,0,7,5800000
mazda,2,2009,150000,2,0,6,6000000
mazda,3,2018,88940,2,0,6,13800000
mazda,3,2014,87300,1,0,7,11500000
mazda,3,2018,40000,2,1,7,15000000
mazda,3,2011,114000,1,1,7,8880000
mazda,3,2016,69331,2,1,7,14990000
mazda,3,2020,33000,2,1,7,18600000
mazda,3,2019,40000,1,1,7,16980000
mazda,3,2014,100000,1,1,7,9600000
mazda,3,2018,66000,1,1,7,14000000
mazda,3,2020,31000,1,1,7,15890000
mazda,3,2021,24200,2,1,12,19990000
mazda,3,2017,97200,1,1,7,15190000
