Marca,Modelo,Año,Kilometraje,Transmision,Tipo de Vendedor,Región,Precio
hyundai,2,2021,"51,150 km",Manual,Automotora Usado,Metropolitana de Santiago,8990000
hyundai,2,2022,,Manual,Automotora Nuevo,Metropolitana de Santiago,12390000
hyundai,2,2020,"31,909 km",Manual,Automotora Usado,Metropolitana de Santiago,7990000
hyundai,2,2021,"41,784 km",Manual,Automotora Usado,Metropolitana de Santiago,8690000
hyundai,2,2020,"35,030 km",Manual,Automotora Usado,Metropolitana de Santiago,7990000
hyundai,2,2021,"19,489 km",Manual,Automotora Usado,Metropolitana de Santiago,8990000
hyundai,2,2021,"10,059 km",Manual,Automotora Usado,Bío Bío,9590000
hyundai,2,2022,"26,000 km",Manual,Automotora Usado,Valparaíso,10290000
hyundai,2,2021,"17,500 km",Manual,Automotora Usado,Metropolitana de Santiago,9250000
hyundai,2,2016,"40,000 km",Automática,Automotora Usado,Metropolitana de Santiago,7800000
hyundai,2,2017,"53,688 km",Manual,Automotora Usado,Metropolitana de Santiago,8390000
hyundai,2,2019,"65,061 km",Manual,Automotora Usado,Metropolitana de Santiago,7780000
hyundai,2,2019,"69,300 km",Manual,Automotora Usado,Los Lagos,8180000
hyundai,2,2018,"59,165 km",Manual,Automotora Usado,Metropolitana de Santiago,8380000
hyundai,2,2020,"69,128 km",Manual,Automotora Usado,Araucanía,7800000
hyundai,2,2021,"15,000 km",Manual,Automotora Usado,Metropolitana de Santiago,8800000
hyundai,2,2019,"15,000 km",Manual,Particular,Metropolitana de Santiago,8190000
hyundai,2,2020,"53,611 km",Manual,Automotora Usado,Metropolitana de Santiago,8480000
hyundai,2,2017,"81,000 km",Manual,Particular,Metropolitana de Santiago,6970000
hyundai,2,2018,"42,131 km",Manual,Particular,Metropolitana de Santiago,7290000
hyundai,2,2022,"3,000 km",Manual,Particular,Metropolitana de Santiago,12250000
hyundai,2,2022,"7,000 km",Manual,Particular,Metropolitana de Santiago,10190000
hyundai,2,2020,"51,000 km",Manual,Automotora Usado,Metropolitana de Santiago,9990000
hyundai,2,2018,"116,000 km",Manual,Particular,Metropolitana de Santiago,7900000
hyundai,2,2018,"51,900 km",Manual,Automotora Usado,Coquimbo,7990000
hyundai,2,2018,"28,000 km",Manual,Particular,Araucanía,8250000
hyundai,2,2021,"22,000 km",Manual,Particular,Metropolitana de Santiago,9500000
hyundai,2,2015,"125,000 km",Manual,Particular,Maule,7200000
hyundai,2,2021,"10,000 km",Manual,Particular,Metropolitana de Santiago,10500000
hyundai,2,2016,"107,000 km",Manual,Particular,Metropolitana de Santiago,6890000
hyundai,2,2021,"9,500,000 km",Manual,Particular,Araucanía,11990000
hyundai,2,2017,"60,000 km",Manual,Particular,Metropolitana de Santiago,8700000
hyundai,2,2021,"9,500 km",Manual,Particular,Metropolitana de Santiago,10990000
hyundai,2,2018,"65,048 km",Manual,Particular,Metropolitana de Santiago,7900000
hyundai,2,2016,"75,000 km",Manual,Particular,Metropolitana de Santiago,7900000
hyundai,2,2017,"60,000 km",Manual,Particular,Metropolitana de Santiago,7690000
hyundai,2,2018,"21,000 km",Automática,Particular,Metropolitana de Santiago,10850000
hyundai,2,2019,"35,500 km",Manual,Particular,Metropolitana de Santiago,7880000
hyundai,2,2018,"37,000 km",Manual,Particular,Bío Bío,8490000
hyundai,2,2021,"6,000 km",Manual,Particular,Valparaíso,9890000
hyundai,2,2018,"70,200 km",Manual,Particular,Metropolitana de Santiago,8700000
hyundai,2,2019,"72,000 km",Manual,Particular,Metropolitana de Santiago,8000000
hyundai,2,2021,"15,000 km",Manual,Particular,Metropolitana de Santiago,9500000
hyundai,2,2019,"56,000 km",Manual,Particular,Metropolitana de Santiago,8400000
hyundai,2,2018,"68,000 km",Manual,Particular,Valparaíso,9000000
hyundai,2,2019,"74,756 km",Manual,Particular,Los Ríos,7200000
hyundai,2,2017,"81,000 km",Manual,Automotora Usado,Metropolitana de Santiago,7990000
hyundai,2,2019,"28,000 km",Automática,Particular,Metropolitana de Santiago,11250000
