Marca,Modelo,Año,Kilometraje,Transmision,Precio
honda,cr-v,2017,"106,000 km",Automática,16790000
honda,cr-v,2015,"107,000 km",Automática,14500000
honda,cr-v,2017,"76,000 km",Automática,21580000
,,,,,
honda,cr-v,2023,,Automática,33580000
honda,cr-v,2018,"90,262 km",Automática,19990000
honda,cr-v,2020,"51,341 km",Automática,19690000
honda,cr-v,2009,"183,000 km",Automática,7750000
honda,cr-v,2011,"180,000 km",Automática,9970000
honda,cr-v,2014,"163,760 km",Automática,13200000
honda,cr-v,2020,"26,000 km",Automática,24890000
honda,cr-v,2015,"46,975 km",Automática,16500000
honda,cr-v,2015,"113,800 km",Automática,14900000
honda,cr-v,2013,"130,000 km",Automática,13500000
honda,cr-v,2013,"147,000 km",Automática,12500000
honda,cr-v,2017,"63,000 km",Automática,19950000
honda,cr-v,2006,"216,460 km",Automática,7500000
honda,cr-v,2004,"280,000 km",Automática,6100000
honda,cr-v,2011,"180,000 km",Automática,10400000
honda,cr-v,2020,"14,200 km",Automática,23900000
honda,cr-v,2010,"190,000 km",Automática,10000000
honda,cr-v,2016,"63,000 km",Automática,15000000
honda,cr-v,2022,"15,000 km",Automática,28900000
honda,cr-v,2009,"150,000 km",Automática,12200000
honda,cr-v,2017,"93,000 km",Automática,17790000
honda,cr-v,2012,"150,000 km",Automática,10200000
honda,cr-v,2019,"38,000 km",Automática,23300000
honda,cr-v,2009,"150,000 km",Automática,13800000
honda,cr-v,2014,"200,000 km",Automática,11000000
,,,,,
honda,cr-v,2021,"33,000 km",Automática,28800000
honda,cr-v,2008,"130,000 km",Automática,8200000
honda,cr-v,2009,"1,900,000 km",Automática,7650000
honda,cr-v,2002,"250,000 km",Automática,5250000
honda,cr-v,2014,"125,000 km",Automática,12400000
honda,cr-v,2008,"207,000 km",Automática,7500000
honda,cr-v,2018,"49,000 km",Automática,22890000
honda,cr-v,2016,"85,000 km",Automática,15900000
honda,cr-v,2019,"53,000 km",Automática,23990000
honda,cr-v,2009,"129,000 km",Automática,9700000
honda,cr-v,2019,"67,767 km",Automática,25500000
honda,cr-v,2017,"76,969 km",Automática,17700000
,,,,,
honda,cr-v,2016,"86,500 km",Automática,17000000
honda,cr-v,2019,"44,000 km",Automática,22890000
honda,cr-v,2002,"226,000 km",Automática,4000000
honda,cr-v,2012,"170,000 km",Automática,9500000
honda,cr-v,2020,"81,000 km",Automática,25500000
honda,cr-v,1998,"345,250 km",Automática,4900000
honda,cr-v,2014,"181,000 km",Automática,11800000
honda,cr-v,2013,"122,000 km",Automática,11500000
honda,cr-v,2008,"188,700 km",Automática,7250000
honda,cr-v,2007,"231,000 km",Automática,5890000
honda,cr-v,2018,"96,000 km",Automática,20500000
honda,cr-v,2022,"11,000 km",Automática,30500000
honda,cr-v,2014,"83,000 km",Automática,11700000
honda,cr-v,2005,"284,000 km",Automática,5700000
honda,cr-v,2014,"65,000 km",Automática,14000000
honda,cr-v,2014,"149,500 km",Automática,12750000
honda,cr-v,2008,"155,000 km",Automática,7980000
honda,cr-v,2007,"172,000 km",Automática,6500000
honda,cr-v,2012,"139,000 km",Automática,11000000
honda,cr-v,2017,"47,000 km",Automática,21000000
honda,cr-v,2015,"110,000 km",Automática,12500000
honda,cr-v,2008,"270,000 km",Automática,7500000
honda,cr-v,2014,"122,000 km",Automática,10500000
honda,cr-v,2015,"200,000 km",Automática,10000000
honda,cr-v,2019,"35,716 km",Automática,22200000
honda,cr-v,2015,"60,000 km",Automática,10300000
honda,cr-v,2015,"141,000 km",Automática,14800000
honda,cr-v,2014,"130,000 km",Automática,13200000
honda,cr-v,2006,"220,000 km",Automática,6500000
honda,cr-v,2008,"230,000 km",Automática,7950000
honda,cr-v,2014,"43,000 km",Automática,13890000
honda,cr-v,2018,"65,000 km",Automática,21850000
honda,cr-v,2014,"108,000 km",Automática,15800000
honda,cr-v,2016,"103,000 km",Automática,13990000
honda,cr-v,2020,"15,200 km",Automática,23290000
honda,cr-v,2012,"163,786 km",Automática,10490000
honda,cr-v,2017,"82,046 km",Automática,15490000
honda,cr-v,2015,"118,721 km",Automática,12861000
honda,cr-v,2018,"32,991 km",Automática,23490000
honda,cr-v,2017,"73,554 km",Automática,16990000
honda,cr-v,2009,"166,460 km",Automática,7890000
honda,cr-v,2014,"91,646 km",Automática,12990000
honda,cr-v,2018,"51,500 km",Automática,22490000
honda,cr-v,2014,"76,000 km",Automática,12490000
honda,cr-v,2015,"104,000 km",Automática,15990000
honda,cr-v,2015,"107,383 km",Automática,13490000
honda,cr-v,2013,"144,000 km",Automática,11980000
honda,cr-v,2016,"33,500 km",Automática,17450000
honda,cr-v,2020,"26,000 km",Automática,24890000
honda,cr-v,2008,"204,000 km",Automática,6790000
honda,cr-v,2010,"162,400 km",Automática,8990000
honda,cr-v,2006,"172,000 km",Automática,5880000
honda,cr-v,2015,"66,600 km",Automática,13490000
honda,cr-v,2015,"132,000 km",Automática,12000000
honda,cr-v,2011,"180,790 km",Automática,10780000
honda,cr-v,2015,"129,388 km",Automática,13890000
honda,cr-v,2013,"122,104 km",Automática,10980000
honda,cr-v,2015,"80,000 km",Automática,14490000
honda,cr-v,2007,"167,000 km",Automática,6800000
honda,cr-v,2012,"131,000 km",Automática,10690000
honda,cr-v,2017,"77,000 km",Automática,17990000
honda,cr-v,2015,"122,000 km",Automática,14990000
honda,cr-v,2015,"127,500 km",Automática,14790000
honda,cr-v,2017,"63,000 km",Automática,15980000
honda,cr-v,2017,"62,000 km",Automática,16980000
honda,cr-v,2023,,Automática,27390000
honda,cr-v,2013,"100,000 km",Automática,10680000
honda,cr-v,2014,"155,818 km",Automática,11180000
honda,cr-v,2015,"142,000 km",Automática,13080000
honda,cr-v,2016,"49,662 km",Automática,17800000
honda,cr-v,2018,"150,525 km",Automática,19440000
honda,cr-v,2012,"99,300 km",Automática,13590000
honda,cr-v,2013,"161,000 km",Automática,10990000
honda,cr-v,2016,"62,800 km",Automática,15090000
honda,cr-v,2015,"100,911 km",Automática,14090000
honda,cr-v,2013,"133,258 km",Automática,10980000
honda,cr-v,2015,"91,168 km",Automática,14490000
honda,cr-v,2015,"97,800 km",Automática,14380000
honda,cr-v,2016,"150,000 km",Automática,14990000
honda,cr-v,2017,"85,000 km",Automática,19280000
honda,cr-v,2016,"113,000 km",Automática,12990000
honda,cr-v,2014,"128,000 km",Automática,5000000
honda,cr-v,2012,"132,000 km",Automática,12690000
honda,cr-v,2013,"115,000 km",Automática,11980000
honda,cr-v,2013,"114,600 km",Automática,12990000
honda,cr-v,2016,"90,700 km",Automática,17900000
honda,cr-v,2014,"117,500 km",Automática,12990000
honda,cr-v,1998,"260,000 km",Automática,5200000
honda,cr-v,2016,"130,000 km",Automática,13590000
honda,cr-v,2014,"120,000 km",Automática,11000000
honda,cr-v,2012,"89,429 km",Automática,11000000
honda,cr-v,2015,"107,000 km",Automática,15500000
honda,cr-v,2009,"166,000 km",Automática,7500000
honda,cr-v,2009,"213,000 km",Automática,11000000
