Marca,Modelo,Año,Kilometraje,Transmision,Tipo de Vendedor,Región,Precio
honda,wr-v,2018,"76,022 km",Manual,Automotora Usado,Metropolitana de Santiago,10990000
honda,wr-v,2022,"71,000 km",Manual,Automotora Usado,Metropolitana de Santiago,14880000
honda,wr-v,2022,,Manual,Automotora Nuevo,Metropolitana de Santiago,16380000
honda,wr-v,2018,"60,500 km",Automática,Automotora Usado,Metropolitana de Santiago,13490000
honda,wr-v,2018,"69,000 km",Manual,Automotora Usado,Metropolitana de Santiago,9990000
honda,wr-v,2018,"93,696 km",Manual,Automotora Usado,Maule,11490000
honda,wr-v,2022,800 km,Automática,Automotora Usado,Metropolitana de Santiago,13990000
honda,wr-v,2018,"49,500 km",Manual,Automotora Usado,Los Lagos,11990000
honda,wr-v,2022,300 km,Automática,Particular,Valparaíso,18400000
honda,wr-v,2017,"32,000 km",Manual,Particular,Metropolitana de Santiago,11200000
honda,wr-v,2022,"3,500 km",Automática,Particular,Bío Bío,16250000
honda,wr-v,2018,"90,000 km",Manual,Particular,Metropolitana de Santiago,10990000
honda,wr-v,2017,"95,000 km",Manual,Particular,Valparaíso,10990000
honda,wr-v,2023,110 km,Automática,Particular,Metropolitana de Santiago,18000000
