Marca,Modelo,Año,Kilometraje,Transmision,Tipo de Vendedor,Región,Precio
kia,2,2017,"24,500 km",Manual,Automotora Usado,Araucanía,8690000
kia,2,2019,"51,179 km",Manual,Automotora Usado,Metropolitana de Santiago,10590000
kia,2,2020,"54,000 km",Automática,Automotora Usado,Metropolitana de Santiago,12690000
kia,2,2016,"106,031 km",Manual,Automotora Usado,Metropolitana de Santiago,10990000
kia,2,2016,"99,000 km",Manual,Automotora Usado,Metropolitana de Santiago,8500000
kia,2,2019,"45,000 km",Manual,Automotora Usado,Metropolitana de Santiago,8930000
kia,2,2019,"38,804 km",Manual,Automotora Usado,Metropolitana de Santiago,11990000
kia,2,2019,"51,574 km",Manual,Automotora Usado,Metropolitana de Santiago,9990000
kia,2,2022,"36,000 km",Manual,Automotora Usado,Metropolitana de Santiago,13990000
kia,2,2018,"76,000 km",Manual,Automotora Usado,Metropolitana de Santiago,9600000
kia,2,2021,"31,000 km",Manual,Automotora Usado,Valparaíso,13990000
kia,2,2021,"30,000 km",Automática,Particular,Maule,13490000
kia,3,2013,"96,500 km",Manual,Particular,Metropolitana de Santiago,8100000
kia,2,2022,"10,000 km",Manual,Particular,Metropolitana de Santiago,12980000
kia,2,2015,"167,000 km",Manual,Particular,Valparaíso,8500000
kia,2,2019,"65,950 km",Automática,Particular,Metropolitana de Santiago,14000000
kia,2,2016,"85,000 km",Manual,Particular,Metropolitana de Santiago,9000000
kia,2,2019,"31,000 km",Manual,Particular,Metropolitana de Santiago,13290000
kia,2,2018,"42,000 km",Manual,Automotora Usado,Metropolitana de Santiago,9490000
kia,2,2018,"67,400 km",Manual,Particular,Metropolitana de Santiago,12190000
kia,2,2018,"118,000 km",Manual,Automotora Usado,Bío Bío,9590000
kia,2,2012,"121,400 km",Manual,Particular,Metropolitana de Santiago,7650000
kia,2,2019,"64,000 km",Manual,Automotora Usado,Metropolitana de Santiago,10450000
kia,2,2016,"800,000 km",Manual,Particular,Valparaíso,8800000
kia,2,2019,"36,700 km",Manual,Particular,Metropolitana de Santiago,10800000
kia,3,2013,"55,500 km",Manual,Particular,Metropolitana de Santiago,9490000
kia,2,2018,"49,000 km",Manual,Particular,Metropolitana de Santiago,12000000
kia,2,2021,"35,000 km",Manual,Particular,Metropolitana de Santiago,11990000
kia,2,2019,"52,000 km",Manual,Particular,Metropolitana de Santiago,11600000
kia,2,2016,"76,000 km",Manual,Particular,Valparaíso,10300000
kia,2,2014,"58,084 km",Manual,Particular,Metropolitana de Santiago,7990000
kia,3,2013,"121,000 km",Manual,Particular,Los Lagos,7300000
kia,2,2016,"72,000 km",Manual,Particular,Valparaíso,9800000
kia,2,2018,"71,000 km",Manual,Particular,Metropolitana de Santiago,9490000
kia,2,2021,"8,000 km",Manual,Particular,Metropolitana de Santiago,11800000
kia,2,2022,"18,000 km",Manual,Particular,Metropolitana de Santiago,13700000
kia,2,2012,"15,800 km",Automática,Particular,Metropolitana de Santiago,8500000
kia,2,2015,"130,000 km",Manual,Particular,Metropolitana de Santiago,7750000
kia,2,2019,"32,500 km",Manual,Particular,Metropolitana de Santiago,11800000
kia,2,2019,"24,000 km",Manual,Particular,Valparaíso,13200000
kia,2,2019,"28,000 km",Manual,Particular,Metropolitana de Santiago,11590000
kia,2,2018,"80,000 km",Manual,Particular,Valparaíso,10980000
kia,2,2018,"95,000 km",Manual,Particular,Metropolitana de Santiago,10700000
kia,2,2016,"83,000 km",Manual,Particular,Metropolitana de Santiago,7500000
kia,2,2015,"103,000 km",Automática,Particular,Metropolitana de Santiago,8850000
kia,2,2018,"48,110 km",Manual,Particular,Metropolitana de Santiago,11900000
kia,2,2017,"75,000 km",Manual,Particular,Metropolitana de Santiago,8600000
