Marca,Modelo,Año,Kilometraje,Transmision,Precio
suzuki,baleno,2021,40000,1,11950000
suzuki,baleno,2019,55000,1,7950000
suzuki,baleno,2022,29588,1,10990000
suzuki,baleno,2021,51622,1,10290000
suzuki,baleno,2020,41113,1,9490000
suzuki,baleno,2018,88000,1,12290000
suzuki,baleno,2021,33000,1,10980000
suzuki,baleno,2019,11000,1,10990000
suzuki,baleno,2020,29000,1,10500000
suzuki,baleno,2022,12300,1,11590000
suzuki,baleno,2018,45000,1,9800000
suzuki,baleno,2022,17500,1,11790000
suzuki,baleno,2021,14310,1,12350000
suzuki,baleno,2020,27000,1,10790000
suzuki,baleno,2017,51150,1,8490000
suzuki,baleno,2020,25819,1,11990000
suzuki,baleno,2018,44000,1,11490000
suzuki,baleno,2020,13800,1,12000000
suzuki,baleno,2018,55000,1,10900000
suzuki,baleno,2022,2700,2,15590000
suzuki,baleno,2021,10800,2,13480000
suzuki,baleno,2018,44000,1,10990000
suzuki,baleno,2017,91000,1,9290000
suzuki,baleno,2018,78000,1,9590000
suzuki,baleno,2021,32000,2,12500000
suzuki,baleno,2017,55000,1,10900000
suzuki,baleno,2018,45000,1,11680000
suzuki,baleno,2021,37780,1,10800000
suzuki,baleno,2020,25000,1,11700000
suzuki,baleno,2018,64700,1,10300000
suzuki,baleno,2017,138000,2,9480000
suzuki,baleno,2018,93000,1,11200000
suzuki,baleno,2021,13000,1,12000000
suzuki,baleno,2019,69000,1,9500000
suzuki,baleno,2017,49600,1,9200000
suzuki,baleno,2021,26400,1,12500000
suzuki,baleno,2018,96000,1,9200000
suzuki,baleno,2017,78500,1,9990000
suzuki,baleno,2020,20000,1,12500000
suzuki,baleno,2017,69500,1,9500000
suzuki,baleno,2018,40000,2,11750000
suzuki,baleno,2018,20300,1,11000000
suzuki,baleno,2019,43000,1,10850000
suzuki,baleno,2019,52700,1,10000000
suzuki,baleno,2022,4500,2,11690000
suzuki,baleno,2018,50000,1,9500000
suzuki,baleno,2022,1500,1,12000000
suzuki,baleno,2019,36500,1,10800000
suzuki,baleno,2020,65000,1,9500000
suzuki,baleno,2018,90000,1,7200000
suzuki,baleno,2020,54500,1,11400000
suzuki,baleno,1997,159500,1,2990000
suzuki,baleno,2021,30000,2,12790000
suzuki,baleno,2021,21900,1,12200000
suzuki,baleno,2019,82300,1,10200000
suzuki,baleno,1999,179000,2,3800000
suzuki,baleno,2022,3700,1,12880000
suzuki,baleno,2019,38000,1,8990000
suzuki,baleno,2019,70000,1,9800000
suzuki,baleno,2018,36475,2,10500000
suzuki,baleno,2018,47900,1,9200000
suzuki,baleno,2017,62500,1,8990000
suzuki,baleno,2018,59000,1,9800000
suzuki,baleno,2019,56530,1,10700000
suzuki,baleno,2022,8023,1,6200000
suzuki,baleno,2022,6000,2,13300000
