Marca,Modelo,Año,Kilometraje,Transmision,Tipo de Vendedor,Región,Precio
mazda,3,2018,"88,940 km",Automática,Particular,Valparaíso,13800000
mazda,3,2014,"87,300 km",Manual,Particular,Metropolitana de Santiago,11500000
mazda,3,2018,"40,000 km",Automática,Automotora Usado,Metropolitana de Santiago,15000000
mazda,3,2011,"114,000 km",Manual,Automotora Usado,Metropolitana de Santiago,8880000
mazda,3,2016,"69,331 km",Automática,Automotora Usado,Metropolitana de Santiago,14990000
mazda,3,2020,"33,000 km",Automática,Automotora Usado,Metropolitana de Santiago,18600000
mazda,3,2019,"40,000 km",Manual,Automotora Usado,Metropolitana de Santiago,16980000
mazda,3,2014,"100,000 km",Manual,Automotora Usado,Metropolitana de Santiago,9600000
mazda,3,2018,"66,000 km",Manual,Automotora Usado,Metropolitana de Santiago,14000000
mazda,3,2020,"31,000 km",Manual,Automotora Usado,Metropolitana de Santiago,15890000
mazda,3,2021,"24,200 km",Automática,Automotora Usado,Araucanía,19990000
mazda,3,2016,"69,331 km",Automática,Automotora Usado,Metropolitana de Santiago,14990000
mazda,3,2017,"97,200 km",Manual,Automotora Usado,Metropolitana de Santiago,15190000
mazda,3,2019,"81,000 km",Automática,Automotora Usado,Metropolitana de Santiago,12600000
mazda,3,2019,"23,700 km",Manual,Automotora Usado,Metropolitana de Santiago,14290000
mazda,3,2022,"2,900 km",Automática,Automotora Usado,Metropolitana de Santiago,19690000
mazda,3,2020,"12,000 km",Manual,Automotora Usado,Metropolitana de Santiago,17400000
mazda,3,2019,"67,000 km",Manual,Automotora Usado,Bío Bío,12690000
mazda,3,2020,"19,000 km",Manual,Particular,Metropolitana de Santiago,17900000
mazda,3,2022,"9,480 km",Manual,Automotora Usado,Metropolitana de Santiago,22490000
mazda,3,2019,"30,800 km",Manual,Automotora Usado,Metropolitana de Santiago,15280000
mazda,3,2021,"12,642 km",Manual,Automotora Usado,Metropolitana de Santiago,16943427
mazda,3,2018,"75,000 km",Automática,Automotora Usado,Los Lagos,14790000
mazda,3,2020,"18,000 km",Automática,Automotora Usado,Metropolitana de Santiago,20490000
mazda,3,2021,"28,000 km",Automática,Particular,Metropolitana de Santiago,20000000
mazda,3,2020,"68,064 km",Automática,Automotora Usado,OHiggins,17490000
mazda,3,2020,"58,500 km",Manual,Automotora Usado,Metropolitana de Santiago,13700000
mazda,3,2017,"75,000 km",Manual,Automotora Usado,Maule,12990000
mazda,3,2010,"156,000 km",Automática,Automotora Usado,Metropolitana de Santiago,7480000
mazda,3,2016,"103,000 km",Automática,Automotora Usado,Maule,11390000
mazda,3,2017,"105,299 km",Manual,Particular,Metropolitana de Santiago,11990000
mazda,3,2021,"18,000 km",Manual,Particular,Metropolitana de Santiago,16200000
mazda,3,2017,"73,000 km",Manual,Particular,Metropolitana de Santiago,13050000
mazda,3,2020,"36,828 km",Manual,Automotora Usado,Metropolitana de Santiago,16490000
mazda,3,2018,"32,500 km",Manual,Particular,Maule,13000000
mazda,3,2017,"120,000 km",Automática,Particular,Metropolitana de Santiago,15990000
mazda,3,2019,"43,800 km",Automática,Particular,Maule,17500000
mazda,3,2021,"18,000 km",Manual,Automotora Usado,Metropolitana de Santiago,16890000
mazda,3,2019,"48,000 km",Automática,Particular,Metropolitana de Santiago,15950000
mazda,3,2018,"40,000 km",Automática,Particular,Metropolitana de Santiago,16400000
mazda,3,2016,"96,000 km",Manual,Particular,Valparaíso,13000000
mazda,3,2018,"49,500 km",Automática,Particular,Bío Bío,17690000
mazda,3,2017,"52,000 km",Automática,Automotora Usado,Metropolitana de Santiago,15490000
mazda,3,2018,"54,000 km",Manual,Particular,Metropolitana de Santiago,12650000
mazda,3,2018,"41,000 km",Automática,Automotora Usado,Metropolitana de Santiago,16790000
mazda,3,2020,"8,000 km",Automática,Particular,Metropolitana de Santiago,18550000
mazda,3,2013,"144,353 km",Manual,Particular,Valparaíso,7500000
mazda,3,2018,"66,300 km",Automática,Particular,Metropolitana de Santiago,17300000
mazda,3,2020,"34,000 km",Manual,Automotora Usado,Metropolitana de Santiago,17590000
mazda,3,2020,"40,000 km",Manual,Particular,Metropolitana de Santiago,18200000
