Marca,Modelo,Año,Kilometraje,Transmision,Tipo de Vendedor,Región,Precio
mg,3,2021,"12,500 km",Manual,Particular,Metropolitana de Santiago,8000000
mg,3,2021,"33,000 km",Manual,Automotora Usado,Metropolitana de Santiago,8480000
mg,3,2021,"15,000 km",Manual,Automotora Usado,Metropolitana de Santiago,9480000
mg,3,2021,"30,000 km",Automática,Automotora Usado,Metropolitana de Santiago,9690000
mg,3,2013,"97,000 km",Manual,Automotora Usado,Metropolitana de Santiago,4990000
mg,3,2022,"1,900 km",Manual,Automotora Usado,Metropolitana de Santiago,8990000
mg,3,2020,"31,400 km",Automática,Particular,Metropolitana de Santiago,9990000
mg,3,2019,"55,000 km",Manual,Particular,Metropolitana de Santiago,7700000
mg,3,2018,"53,000 km",Manual,Particular,OHiggins,7000000
mg,3,2022,"5,000 km",Manual,Particular,Maule,8990000
mg,3,2015,"67,000 km",Manual,Particular,Araucanía,5590000
mg,3,2020,"16,000 km",Manual,Automotora Usado,Valparaíso,7990000
mg,3,2019,"30,000 km",Manual,Particular,Metropolitana de Santiago,8900000
mg,3,2016,"84,000 km",Manual,Particular,Metropolitana de Santiago,6200000
mg,3,2015,"104,281 km",Manual,Particular,Metropolitana de Santiago,6490000
mg,3,2021,"21,000 km",Manual,Particular,Metropolitana de Santiago,7200000
mg,3,2017,"58,000 km",Manual,Particular,Metropolitana de Santiago,7200000
mg,3,2019,"60,000 km",Manual,Particular,Metropolitana de Santiago,8890000
mg,3,2014,"65,500 km",Manual,Particular,Metropolitana de Santiago,6200000
mg,3,2021,"29,430 km",Manual,Particular,Metropolitana de Santiago,6590000
mg,3,2022,"9,300 km",Manual,Particular,Metropolitana de Santiago,10500000
mg,3,2017,"68,000 km",Manual,Particular,Metropolitana de Santiago,7500000
mg,3,2022,,Manual,Automotora Nuevo,Metropolitana de Santiago,9595000
mg,3,2016,"123,000 km",Manual,Particular,Valparaíso,7200000
mg,3,2022,"2,500 km",Manual,Particular,Metropolitana de Santiago,8800000
mg,3,2015,"28,000 km",Manual,Particular,Bío Bío,8000000
mg,3,2020,"30,000 km",Manual,Particular,Maule,10200000
mg,3,2021,"14,000 km",Automática,Particular,Metropolitana de Santiago,10300000
mg,3,2016,"170,000 km",Manual,Particular,Araucanía,6500000
mg,3,2016,"63,000 km",Manual,Particular,OHiggins,7000000
mg,3,2022,"1,700 km",Manual,Particular,Bío Bío,10500000
mg,3,2022,"4,900 km",Manual,Particular,Valparaíso,8900000
mg,3,2019,"25,000 km",Manual,Particular,Metropolitana de Santiago,9000000
mg,3,2019,"29,000 km",Manual,Particular,Metropolitana de Santiago,7290000
mg,3,2021,"12,500 km",Manual,Particular,Metropolitana de Santiago,8000000
